sys_sch,SystemId,SystemName,SchoolName,SchoolId,Cluster,Phone_Number,Street,City,State,Zip_Code,total_enroll,Grades,SSAS,Grade,SingleScore,pct_asian,pct_native,pct_black,pct_hispanic,pct_multi,pct_white,pct_ed,pct_swd,pct_lep,AchievementE,ProgressE,GapE,ChallengeE,CCRPIScoreE,performance_9E,performance_10E,AchievementM,ProgressM,GapM,ChallengeM,CCRPIScoreM,performance_9M,AchievementH,ProgressH,GapH,ChallengeH,CCRPIScoreH,English_BegH,English_DevH,English_ProfH,English_DistH,Math_BegH,Math_DevH,Math_ProfH,Math_DistH,Science_BegH,Science_DevH,Science_ProfH,Science_DistH,Soc_BegH,Soc_DevH,Soc_ProfH,Soc_DistH,performance_11H,performance_12H,performance_17H,English_BegE,English_DevE,English_ProfE,English_DistE,Math_BegE,Math_DevE,Math_ProfE,Math_DistE,Science_BegE,Science_DevE,Science_ProfE,Science_DistE,Soc_BegE,Soc_DevE,Soc_ProfE,Soc_DistE,English_BegM,English_DevM,English_ProfM,English_DistM,Math_BegM,Math_DevM,Math_ProfM,Math_DistM,Science_BegM,Science_DevM,Science_ProfM,Science_DistM,Soc_BegM,Soc_DevM,Soc_ProfM,Soc_DistM,CollegeEnrollment,FinancialEfficiency,SchoolClimate,Mobility,PPE
601103,601,Appling County,Appling County High School,103,H,(912)367-8610,482 Blackshear Hwy,Baxley,GA,31513,984,9-12,,B,84.40000000000000,1,0,20,13,3,63,65,12,2,,,,,,,,,,,,,,35.1,39.2,6.7,3.4,84.40000000000000,27.5,38.2,28.2,6.1,14.4,34.6,46.8,4.300000000000000,29.6,25.8,38.5,6.2,18.8,28.7,46.3,6.3,75.3,33.8,82.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,10.6,8758.370000000000
601177,601,Appling County,Appling County Elementary School,177,E,(912)367-8640,680 Blackshear Hwy,Baxley,GA,31513,576,3-5,,B,82,1,0,29,21,4,45,82,16,18,30.1,39.2,6.7,6,82,46.90000000000000,65.60000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.4,36.3,24.8,6.5,18.1,34.8,33.5,13.6,24.6,31,32.6,11.8,24.2,45.2,17.7,12.9,,,,,,,,,,,,,,,,,,3.5,4,14.2,8951.74
601195,601,Appling County,Appling County Middle School,195,M,(912)367-8630,2997 Blackshear Hwy,Baxley,GA,31513,773,6-8,,C,75.8,1,0,22,13,3,61,72,13,3,,,,,,,,26.7,40,8.300000000000000,0.8,75.8,64.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.5,40.8,26.9,4.9,14.1,44.2,34.1,7.7,41.1,36.2,17.9,4.9,26.9,44.9,26.1,2,,3.5,4,10.3,8364.52
601277,601,Appling County,Appling County Primary School,277,E,(912)367-8642,678 Blackshear Hwy,Baxley,GA,31513,507,K-2,,-,,1,0,28,23,5,43,83,19,20,36,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.7,31.9,29.7,8.800000000000000,19,31.8,34.6,14.5,,,,,,,,,,,,,,,,,,,,,,,,,,,5,18.3,11828.66
602103,602,Atkinson County,Atkinson County High School,103,H,(912)422-3267,145 Rebel Ln,Pearson,GA,31642,485,9-12,,B,80.10000000000000,0,0,18,35,2,45,80,13,3,,,,,,,,,,,,,,36.6,32.6,5,5.9,80.10000000000000,20.8,45.5,29.7,4,7.6,50.4,35.3,6.7,37.6,31.2,25.7,5.5,41.7,30.6,24.1,3.7,65,99,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,10.3,8565.49
602111,602,Atkinson County,Atkinson County Middle School,111,M,(912)422-3267,145 Rebel Ln,Pearson,GA,31642,366,6-8,,C,77,0,0,16,32,2,49,86,16,6,,,,,,,,30.6,36.4,5,5,77,67.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,38,32,8,16.6,46.3,28.3,8.9,32.5,23.8,33.3,10.3,21.4,43.7,28.6,6.3,,4,4,13.2,7928.77
602187,602,Atkinson County,Willacoochee Elementary School,187,E,(912)534-5302,430 S. Vickers St.,Willacoochee,GA,31650,179,K-5,,B,83.60000000000000,0,0,21,34,0,45,90,7,20,36.8,29.4,,10,83.60000000000000,51.40000000000000,87.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.6,38.8,34.1,9.4,10.6,30.6,41.2,17.6,20.8,12.5,33.3,33.3,8.300000000000000,29.2,45.8,16.7,,,,,,,,,,,,,,,,,,2.5,4,23,12348.83
602190,602,Atkinson County,Pearson Elementary School,190,E,(912)422-3882,563 N King St,Pearson,GA,31642,607,K-5,,C,74.7,0,0,12,46,1,41,86,10,34,30,32.2,6.7,5.8,74.7,48.90000000000000,74.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.4,44.5,29.1,7.000000000000000,15.1,45.8,33.8,5.4,27.1,38.3,31.8,2.8,10.3,58.9,24.3,6.5,,,,,,,,,,,,,,,,,,3,3,14.7,8902.99
603102,603,Bacon County,Bacon County Primary School,102,E,(912)632-4765,251 Cumberland Rd,Alma,GA,31510,479,K-2,,-,,1,0,24,14,5,56,86,17,10,36.1,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.1,39.5,29.3,5.100000000000000,18.5,43.9,31.2,6.4,,,,,,,,,,,,,,,,,,,,,,,,,,,5,22.3,10472.42
603202,603,Bacon County,Bacon County Middle School,202,M,(912)632-4662,901 N Pierce St # B,Alma,GA,31510,464,6-8,,F,59.3,0,0,21,11,3,65,67,14,4,,,,,,,,29.8,24.4,3.3,1.8,59.3,74.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.9,39.1,30,2,19.2,49.7,26.3,4.9,30.5,25.2,33.8,10.6,8.600000000000000,35.8,39.1,16.6,,2.5,5,16.8,8367.99
